,VGS,L,W,ID_NMOS,ID_PMOS,gm_NMOS,gm_PMOS,gds_NMOS,gds_PMOS,Vov_NMOS,Vstar_NMOS,Vov_PMOS,Vstar_PMOS
239,0.56,1e-06,5e-06,1.285808e-05,-3.468092e-06,0.0001675517,4.413156e-05,1.289666e-06,3.006511e-07,0.155687,0.153482,-0.1491334,-0.1571706
240,0.57,1e-06,5e-06,1.459881e-05,-3.926031e-06,0.0001805653,4.744952e-05,1.395439e-06,3.314434e-07,0.165687,0.1617011,-0.1591333,-0.1654824
241,0.58,1e-06,5e-06,1.646871e-05,-4.416836e-06,0.0001933769,5.070233e-05,1.501309e-06,3.632667e-07,0.175687,0.1703277,-0.1691332,-0.1742261
242,0.59,1e-06,5e-06,1.84655e-05,-4.939779e-06,0.0002059344,5.387566e-05,1.606956e-06,3.959946e-07,0.185687,0.1793338,-0.1791331,-0.183377
243,0.6,1e-06,5e-06,2.058644e-05,-5.494014e-06,0.000218204,5.69599e-05,1.712169e-06,4.295103e-07,0.195687,0.1886898,-0.1891331,-0.1929081
244,0.61,1e-06,5e-06,2.282855e-05,-6.07862e-06,0.0002301674,5.99497e-05,1.81684e-06,4.637083e-07,0.205687,0.1983648,-0.199133,-0.2027907
245,0.62,1e-06,5e-06,2.518875e-05,-6.692641e-06,0.0002418195,6.284326e-05,1.920946e-06,4.984949e-07,0.215687,0.2083269,-0.2091329,-0.2129947
246,0.63,1e-06,5e-06,2.766392e-05,-7.335117e-06,0.0002531654,6.564172e-05,2.024529e-06,5.337888e-07,0.225687,0.2185442,-0.2191328,-0.2234895
247,0.64,1e-06,5e-06,3.025108e-05,-8.005114e-06,0.0002642184,6.834847e-05,2.127689e-06,5.695202e-07,0.235687,0.2289854,-0.2291327,-0.2342441
248,0.65,1e-06,5e-06,3.294737e-05,-8.701737e-06,0.0002749968,7.096851e-05,2.230562e-06,6.05631e-07,0.245687,0.2396201,-0.2391325,-0.2452281
249,0.66,1e-06,5e-06,3.575017e-05,-9.424151e-06,0.0002855228,7.350798e-05,2.333313e-06,6.42073e-07,0.255687,0.250419,-0.2491324,-0.2564116
250,0.67,1e-06,5e-06,3.865707e-05,-1.017158e-05,0.0002958202,7.597363e-05,2.436123e-06,6.788075e-07,0.265687,0.2613551,-0.2591323,-0.2677661
251,0.68,1e-06,5e-06,4.166589e-05,-1.094333e-05,0.0003059134,7.837252e-05,2.539184e-06,7.158043e-07,0.275687,0.2724032,-0.2691322,-0.2792644
252,0.69,1e-06,5e-06,4.477473e-05,-1.173875e-05,0.0003158264,8.071168e-05,2.64269e-06,7.530405e-07,0.285687,0.2835401,-0.2791321,-0.2908811
253,0.7,1e-06,5e-06,4.798189e-05,-1.25573e-05,0.0003255819,8.299796e-05,2.746833e-06,7.904996e-07,0.295687,0.2947455,-0.2891319,-0.302593
254,0.71,1e-06,5e-06,5.128591e-05,-1.339847e-05,0.0003352009,8.523779e-05,2.851802e-06,8.281706e-07,0.305687,0.306001,-0.2991318,-0.3143786
255,0.72,1e-06,5e-06,5.468552e-05,-1.426183e-05,0.0003447026,8.743718e-05,2.95778e-06,8.660474e-07,0.315687,0.317291,-0.3091317,-0.3262188
256,0.73,1e-06,5e-06,5.817963e-05,-1.5147e-05,0.000354104,8.960159e-05,3.064941e-06,9.041277e-07,0.325687,0.328602,-0.3191315,-0.3380966
257,0.74,1e-06,5e-06,6.176731e-05,-1.605365e-05,0.0003634197,9.173594e-05,3.173453e-06,9.42413e-07,0.335687,0.3399227,-0.3291314,-0.3499971
258,0.75,1e-06,5e-06,6.544778e-05,-1.698152e-05,0.0003726627,9.384458e-05,3.283475e-06,9.809075e-07,0.345687,0.3512441,-0.3391312,-0.3619073
259,0.76,1e-06,5e-06,6.922036e-05,-1.793036e-05,0.0003818435,9.593135e-05,3.395159e-06,1.019618e-06,0.355687,0.3625588,-0.3491311,-0.3738165
260,0.77,1e-06,5e-06,7.308447e-05,-1.889997e-05,0.000390971,9.799957e-05,3.508653e-06,1.058553e-06,0.365687,0.3738614,-0.3591309,-0.3857153
261,0.78,1e-06,5e-06,7.703962e-05,-1.989017e-05,0.0004000523,0.0001000521,3.624098e-06,1.097723e-06,0.375687,0.3851478,-0.3691308,-0.3975963
262,0.79,1e-06,5e-06,8.108538e-05,-2.090083e-05,0.0004090929,0.0001020914,3.741631e-06,1.137141e-06,0.385687,0.3964154,-0.3791306,-0.4094534
263,0.8,1e-06,5e-06,8.522135e-05,-2.193183e-05,0.0004180972,0.0001041194,3.861386e-06,1.17682e-06,0.395687,0.4076629,-0.3891304,-0.4212821
264,0.81,1e-06,5e-06,8.944721e-05,-2.298305e-05,0.000427068,0.000106138,3.983496e-06,1.216774e-06,0.405687,0.4188898,-0.3991303,-0.4330788
265,0.82,1e-06,5e-06,9.376261e-05,-2.405441e-05,0.0004360072,0.0001081483,4.108094e-06,1.25702e-06,0.415687,0.4300966,-0.4091301,-0.4448411
266,0.83,1e-06,5e-06,9.816724e-05,-2.514584e-05,0.0004449159,0.0001101517,4.23531e-06,1.297573e-06,0.425687,0.4412845,-0.4191299,-0.4565674
267,0.84,1e-06,5e-06,0.0001026608,-2.625727e-05,0.0004537944,0.000112149,4.365278e-06,1.338453e-06,0.435687,0.4524552,-0.4291297,-0.468257
268,0.85,1e-06,5e-06,0.000107243,-2.738864e-05,0.0004626422,0.0001141408,4.498134e-06,1.379678e-06,0.445687,0.4636111,-0.4391296,-0.4799098
269,0.86,1e-06,5e-06,0.0001119136,-2.85399e-05,0.0004714583,0.0001161277,4.634017e-06,1.421266e-06,0.455687,0.4747548,-0.4491294,-0.4915262
270,0.87,1e-06,5e-06,0.0001166721,-2.9711e-05,0.0004802414,0.00011811,4.773069e-06,1.46324e-06,0.465687,0.4858893,-0.4591292,-0.5031071
271,0.88,1e-06,5e-06,0.0001215183,-3.09019e-05,0.0004889897,0.0001200882,4.915441e-06,1.50562e-06,0.475687,0.4970177,-0.469129,-0.5146536
272,0.89,1e-06,5e-06,0.0001264517,-3.211256e-05,0.0004977011,0.0001220622,5.061284e-06,1.54843e-06,0.485687,0.5081433,-0.4791288,-0.5261673
273,0.9,1e-06,5e-06,0.0001314722,-3.334294e-05,0.0005063734,0.0001240322,5.21076e-06,1.591693e-06,0.495687,0.5192695,-0.4891286,-0.5376499
274,0.91,1e-06,5e-06,0.0001365791,-3.459299e-05,0.0005150042,0.0001259981,5.364038e-06,1.635435e-06,0.505687,0.5303999,-0.4991284,-0.5491032
275,0.92,1e-06,5e-06,0.0001417721,-3.586268e-05,0.0005235907,0.0001279601,5.521294e-06,1.679682e-06,0.515687,0.5415378,-0.5091282,-0.5605293
276,0.93,1e-06,5e-06,0.0001470507,-3.715196e-05,0.0005321304,0.0001299178,5.682713e-06,1.724463e-06,0.525687,0.5526869,-0.519128,-0.5719301
277,0.94,1e-06,5e-06,0.0001524145,-3.84608e-05,0.0005406205,0.0001318714,5.848491e-06,1.769807e-06,0.535687,0.5638503,-0.5291278,-0.5833078
